Expense,Category
Ordered pizza from Pizza Hut,Food
Music Instrument Purchase,Hobby
K-Electric bill payment,Utilities
xyz123 example,Unknown
Tehzeeb bakery cake,Food
Zinger burger from KFC,Food
Jalal Sons bakery items,Food
Bought from Zellbury,Shopping
WAPDA electricity bill,Utilities
Yoga Mat,Health
Protein Powder Purchase,Health
Shopping at Shophosh,Shopping
Shawarma from street vendor,Food
Bought a dress from Khaadi,Shopping
Bought a dress from Khaadi,Shopping
Dry Cleaning Service,Personal care
Property Tax Payment,Housing
xyz123 example,Unknown
Grabbed fries from Johnny & Jugnu,Food
Software License Purchase,Business
Music Festival Entry,Entertainment
null category input,Unknown
Jalal Sons bakery items,Food
Shawarma from street vendor,Food
asd123 nonsense,Unknown
Paid WASA water bill,Utilities
Stylo shoes on sale,Shopping
xyz123 example,Unknown
InDrive to university,Travel
Charity Fundraiser Donation,Charity
Used Swvl bus,Travel
SNGPL gas bill,Utilities
WAPDA electricity bill,Utilities
Office Coffee Machine,Shopping
New Kitchen Utensils,Shopping
Wedding Gift for Friend,Other
Visa Application Fee,Travel
Grabbed fries from Johnny & Jugnu,Food
Careem Ride to Office,Transport
misc test entry,Unknown
data with no match,Unknown
Grabbed fries from Johnny & Jugnu,Food
Laptop Upgrade,Shopping
InDrive to university,Travel
K-Electric dues,Utilities
randomtextonly,Unknown
?????,Unknown
Personal Loan Repayment,Finance
Interior Decoration,Housing
Beechtree ready-to-wear,Shopping
?????,Unknown
Lunch at McDonald's,Food
Food for Street Dogs,Charity
xyz123 example,Unknown
Car Parking Fee,Transport
null category input,Unknown
IESCO monthly electricity,Utilities
Lunch at McDonald's,Food
Zinger burger from KFC,Food
Bought a dress from Khaadi,Shopping
Grocery Subscription Box,Food
Personal Savings Deposit,Finance
Pizza from Pizza Hut,Food
Art Supplies Purchase,Hobby
Paid Nayatel internet bill,Utilities
some input without meaning,Unknown
misc test entry,Unknown
Jalal Sons bakery items,Food
Wedding Gift for Friend,Other
Local Artisan Craft Purchase,Shopping
Mobile Phone Purchase,Shopping
Hotel Booking for Trip,Travel
Zinger burger from KFC,Food
Took Yango to mall,Travel
Gym Membership Fee,Health
Vacation Package to Turkey,Travel
Ordered food via FoodPanda,Food
Ordered kurta from Limelight,Shopping
Internet bill for Nayatel,Utilities
hello 123 test,Unknown
Used Uber to go to office,Travel
Stylo shoes on sale,Shopping
K-Electric dues,Utilities
School Books for Kids,Parenting
misc test entry,Unknown
Credit Card Bill Payment,Finance
Professional Resume Writing Service,Education
Dinner at OPTP,Food
Internet Subscription,Utilities
Paid Nayatel internet bill,Utilities
Lunch at McDonald's,Food
Biryani from Student Biryani,Food
blabla gibberish,Unknown
hello 123 test,Unknown
Alkaram Studio outlet visit,Shopping
Rented car from local app,Travel
Luxury Dining Experience,Food
Ordered pizza from Pizza Hut,Food
Ordered food via FoodPanda,Food
data with no match,Unknown
New Smartwatch,Shopping
Bykea parcel delivery,Travel
Ordered pizza from Pizza Hut,Food
InDrive to university,Travel
asd123 nonsense,Unknown
K-Electric dues,Utilities
SNGPL gas bill,Utilities
Hospital Bill Payment,Health
Ordered kurta from Limelight,Shopping
Theme Park Ticket,Entertainment
Used Swvl bus,Travel
Furniture Purchase,Housing
Ordered pizza from Pizza Hut,Food
IESCO monthly electricity,Utilities
Shawarma from street vendor,Food
Handmade Jewelry Purchase,Shopping
Alkaram Studio outlet visit,Shopping
Alkaram Studio outlet visit,Shopping
Xbox Game Pass,Entertainment
Bonanza winter collection,Shopping
Zinger burger from KFC,Food
Shopping at Shophosh,Shopping
K-Electric dues,Utilities
StormFiber monthly internet,Utilities
Fishing Equipment Purchase,Hobby
Ordered food via FoodPanda,Food
Medical Checkup,Health
Home Loan EMI,Finance
hello 123 test,Unknown
Internet bill for Nayatel,Utilities
UberPool ride to city center,Travel
Paid Nayatel internet bill,Utilities
Ordered kurta from Limelight,Shopping
Movie Ticket at Cinepax,Entertainment
Sapphire unstitched lawn,Shopping
Internet bill for Nayatel,Utilities
asd123 nonsense,Unknown
Fuel top-up for car,Fuel
Online Educational Platform Subscription,Education
Biryani from Savour Foods,Food
Electronics from Best Buy,Shopping
DJ Equipment Purchase,Entertainment
Ordered pizza from Pizza Hut,Food
Sapphire unstitched lawn,Shopping
asd123 nonsense,Unknown
Took Yango to mall,Travel
Shopping at Shophosh,Shopping
Booked Careem ride,Travel
blabla gibberish,Unknown
Shared InDrive with friend,Travel
Jalal Sons bakery items,Food
misc test entry,Unknown
UberPool ride to city center,Travel
Bought from Zellbury,Shopping
null category input,Unknown
some input without meaning,Unknown
hello 123 test,Unknown
Paid WASA water bill,Utilities
misc test entry,Unknown
Bykea parcel delivery,Travel
Used Uber to go to office,Travel
New Cooking Appliances,Shopping
Donation to Orphanage,Charity
randomtextonly,Unknown
misc test entry,Unknown
Internet bill for Nayatel,Utilities
Paid Nayatel internet bill,Utilities
Homemade Dinner,Food
Gym Equipment Purchase,Health
IESCO monthly electricity,Utilities
Lunch at McDonald's,Food
data with no match,Unknown
Grabbed fries from Johnny & Jugnu,Food
Ordered pizza from Pizza Hut,Food
Shopping at Shophosh,Shopping
Airline Seat Upgrade,Travel
Paid Nayatel internet bill,Utilities
Pharmacy Medicine Purchase,Health
Doctor Visit Fee,Health
Car Service & Maintenance,Automobile
Event Hall Booking,Other
Beechtree ready-to-wear,Shopping
?????,Unknown
Tuition Fee Payment,Education
Uber Ride to Mall,Transport
randomtextonly,Unknown
some input without meaning,Unknown
Internet bill for Nayatel,Utilities
Bonanza winter collection,Shopping
Tehzeeb bakery cake,Food
Grabbed fries from Johnny & Jugnu,Food
Shawarma from street vendor,Food
hello 123 test,Unknown
Beechtree ready-to-wear,Shopping
Rented car from local app,Travel
Used Uber to go to office,Travel
Concert VIP Ticket,Entertainment
Booked Careem ride,Travel
Zinger burger from KFC,Food
some input without meaning,Unknown
Metro Monthly Pass,Transport
Gaming Console Purchase,Entertainment
Bought from Zellbury,Shopping
Dinner at OPTP,Food
Purchased jeans from Outfitters,Shopping
Alkaram Studio outlet visit,Shopping
xyz123 example,Unknown
Lunch at McDonald's,Food
Ordered pizza from Pizza Hut,Food
Luxury Watch Purchase,Shopping
Jalal Sons bakery items,Food
Gasoline Refill,Fuel
Bonanza winter collection,Shopping
Beechtree ready-to-wear,Shopping
Groceries from Walmart,Food
Spotify Premium,Entertainment
Lunch at McDonald's,Food
null category input,Unknown
